連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
0590,533F,T,533F,J,,,,,,,,,,
0591,5340,J,533A,J,,,,,,,,,,
0592,5341,J,,,,,,,,,,,,
0593,5343,J,,,,,,,,,,,,
0594,5345,J,,,,,,,,,,,,
0595,5347,J,,,,,,,,,,,,
0596,5348,J,,,,,,,,,,,,
0597,5349,J,8294,J,,,,,,,,,,
0598,534A,K,534A,J,,,,,,,,,,
0599,534D,J,,,,,,,,,,,,
0600,5351,T,5351,J,,,,,,,,,,
0601,5352,J,5346,J,,,,,,,,,,
0602,5353,J,,,,,,,,,,,,
0603,5354,J,534F,C,65EA,T,604A,J,,,,,,
0604,5357,J,,,,,,,,,,,,
0605,535A,T,535A,J,,,,,,,,,,
0606,535C,J,,,,,,,,,,,,
0607,535E,J,535E,C,,,,,,,,,,
0608,5360,J,,,,,,,,,,,,
0609,5361,C,,,,,,,,,,,,
0610,5363,J,,,,,,,,,,,,
0611,5366,J,,,,,,,,,,,,
0612,5368,KU,,,,,,,,,,,,
0613,5369,J,,,,,,,,,,,,
0614,536E,J,5DF5,J,,,,,,,,,,
0615,536F,J,5918,J,623C,T,,,,,,,,
